Enlace,datos
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230427164757&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230427104317&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230427094248&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230427042031&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230426165554&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230426025355&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230425223621&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230425220302&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230425143530&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230425083439&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230425053259&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230425003310&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230424173912&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230424113820&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230424100305&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230424063714&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230424062505&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230424011314&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230424004602&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230423234849&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230423214836&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230423123309&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230422205700&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230422194526&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230422143436&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230422104457&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230422011323&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230421214616&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230421202842&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230421171925&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230421162334&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230421135154&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230421031035&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230420123640&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230420094616&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230420022632&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230419094044&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230418220059&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230418170624&lang=es,[]
